id,Hero_Name_(multiple_search_terms_allowed,image,Primary_Stat,Agility,Agility_Gain,Intelligence,Intelligence_Gain,Strength,Strength_Gain,Health,Health_Regen,Mana,Mana_Regen,Armor,%Physical_Damage_Reduction,Movement_Speed,Turn_Rate,Base_Damage_Average,Base_Damage_Min,Base_Damage_Max,Bonus_Damage,Bonus_Damage_Reduction,Damage_Average,Damage_Min,Damage_Max,Status_Resistance,Magic_Resistance,Base_Attack_Time,Increased_Attack_Speed,Attack_Type,Attack_Time,Attacks_Per_Second,Attack_Point,Projectile_Speed,Evasion,Physical_Effective_Health,Magical_Effective_Health,Bash_Chance,Crit_Chance,Miss_Chance,Attack_Range,Vision_Range_Day,Vision_Range_Night,Lifesteal,Attack_Damage,Damage_Per_Second,Hero_Icon
1,Abaddon,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/abaddon.png,STR,17,1.5,21,2,23,2.6,660,1.75,327,1.28,0.83,4,310,0.5,60,55,65,0,0,60,55,65,3.45,25,1.7,17,MELEE,1.45,0.69,0.56,900,0,687.5,880,0,0,0,150,1800,800,0,60,41.4,"<div_class=""heroes-sprite-abaddon_heroes-sprite-32x18""></div>"
2,Underlord,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/underlord.png,STR,12,1.3,17,2.6,25,2.9,700,1.77,279,1.21,3,13.04,285,0.6,65,62,68,0,0,65,62,68,3.75,25,1.7,12,MELEE,1.52,0.66,0.45,900,0,805,933.33,0,0,0,150,1800,800,0,65,42.9,"<div_class=""heroes-sprite-abyssal_underlord_heroes-sprite-32x18""></div>"
3,Alchemist,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/alchemist.png,STR,16,1.2,25,1.8,25,2.1,700,1.77,375,1.35,1.67,7.69,290,0.6,53.5,49,58,0,0,53.5,49,58,3.75,25,1.7,16,MELEE,1.47,0.68,0.35,900,0,758.33,933.33,0,0,0,150,1800,800,0,53.5,36.38,"<div_class=""heroes-sprite-alchemist_heroes-sprite-32x18""></div>"
4,Ancient Apparition,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/ancient_apparition.png,INT,20,2.2,23,2.6,20,1.7,600,1.71,351,1.31,2.33,10.45,295,0.6,49,44,54,0,0,49,44,54,0,22.41,1.7,20,RANGED,1.42,0.71,0.45,1250,0,670,773.32,0,0,0,675,1800,800,0,49,34.79,"<div_class=""heroes-sprite-ancient_apparition_heroes-sprite-32x18""></div>"
5,Anti-Mage,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/anti-mage.png,AGI,22,2.8,12,1.8,23,1.3,660,2.04,219,1.12,2.67,11.76,314.09,0.5,53,51,55,0,0,53,51,55,0,25,1.4,22,MELEE,1.15,0.87,0.3,0,0,748,880,0,0,0,150,1800,800,0,53,46.11,"<div_class=""heroes-sprite-antimage_heroes-sprite-32x18""></div>"
6,Arc Warden,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/arc_warden.png,AGI,15,1.8,24,2.6,25,3,700,2.06,363,1.33,0.5,2.44,282.52,0.6,51,46,56,0,0,51,46,56,0,25,1.7,15,RANGED,1.48,0.68,0.3,900,0,717.5,933.33,0,0,0,625,1800,800,0,51,34.68,"<div_class=""heroes-sprite-arc_warden_heroes-sprite-32x18""></div>"
7,Axe,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/axe.png,STR,20,2.2,18,1.6,25,2.8,700,5.01,291,1.22,1.33,6.25,290,0.6,51,49,53,0,0,51,49,53,3.75,25,1.7,20,MELEE,1.42,0.71,0.5,900,0,746.67,933.33,0,0,0,150,1800,800,0,51,36.21,"<div_class=""heroes-sprite-axe_heroes-sprite-32x18""></div>"
8,Bane,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/bane.png,INT,23,2.4,23,2.4,23,2.4,660,1.75,351,1.31,4.83,19.46,310,0.6,61,58,64,0,0,61,58,64,0,22.41,1.7,23,RANGED,1.38,0.72,0.3,900,0,819.5,850.65,0,0,0,400,1800,800,0,61,43.92,"<div_class=""heroes-sprite-bane_heroes-sprite-32x18""></div>"
9,Batrider,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/batrider.png,INT,15,1.5,22,2.5,28,2.7,760,3.9,339,1.3,2.5,11.11,290,1,40,38,42,0,0,40,38,42,0,22.53,1.7,15,RANGED,1.48,0.68,0.3,900,0,855,980.96,0,0,0,375,1200,800,0,40,27.2,"<div_class=""heroes-sprite-batrider_heroes-sprite-32x18""></div>"
10,Beastmaster,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/beastmaster.png,STR,18,1.6,16,1.9,23,2.5,660,1.75,267,1.19,2,9.09,305,0.5,66,64,68,0,0,66,64,68,3.45,25,1.7,18,MELEE,1.44,0.69,0.3,0,0,726,880,0,0,0,150,1800,800,0,66,45.54,"<div_class=""heroes-sprite-beastmaster_heroes-sprite-32x18""></div>"
11,Bloodseeker,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/bloodseeker.png,AGI,24,3,18,1.7,24,2.7,680,1.76,291,1.22,4,16.67,289.1,0.5,60,57,63,0,0,60,57,63,0,25,1.7,24,MELEE,1.37,0.73,0.43,900,0,816,906.67,0,0,0,150,1800,800,0,60,43.8,"<div_class=""heroes-sprite-bloodseeker_heroes-sprite-32x18""></div>"
12,Bounty Hunter,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/bounty_hunter.png,AGI,21,3,19,2,18,2.1,560,2.26,303,1.24,6.5,24.53,318.97,0.6,52,45,59,0,0,52,45,59,0,25,1.7,21,MELEE,1.4,0.71,0.59,900,0,742,746.67,0,0,0,150,1800,1000,0,52,36.92,"<div_class=""heroes-sprite-bounty_hunter_heroes-sprite-32x18""></div>"
13,Brewmaster,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/brewmaster.png,STR,22,1.95,14,1.25,23,3.2,660,2.33,243,1.15,1.67,7.69,295,0.6,55.5,52,59,0,0,55.5,52,59,3.45,25,1.7,22,MELEE,1.39,0.72,0.35,900,0,715,880,0,0,0,150,1800,800,0,55.5,39.96,"<div_class=""heroes-sprite-brewmaster_heroes-sprite-32x18""></div>"
14,Bristleback,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/bristleback.png,STR,17,1.8,14,2.8,22,2.2,640,1.74,243,1.15,2.83,12.41,285,1,49,44,54,0,0,49,44,54,3.3,25,1.8,17,MELEE,1.54,0.65,0.3,900,0,730.67,853.33,0,0,0,150,1800,800,0,49,31.85,"<div_class=""heroes-sprite-bristleback_heroes-sprite-32x18""></div>"
15,Broodmother,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/broodmother.png,AGI,15,2.2,18,2,18,2.8,560,1.69,291,1.22,2.5,11.11,272.43,0.5,44,41,47,0,0,44,41,47,0,25,1.7,15,MELEE,1.48,0.68,0.4,900,0,630,746.67,0,0,0,150,1800,800,0,44,29.92,"<div_class=""heroes-sprite-broodmother_heroes-sprite-32x18""></div>"
16,Centaur Warrunner,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/centaur_warrunner.png,STR,15,1,15,1.6,27,4.3,740,1.79,255,1.17,1.5,6.98,295,0.5,64,63,65,0,0,64,63,65,4.05,25,1.7,15,MELEE,1.48,0.68,0.3,900,0,795.5,986.67,0,0,0,150,1800,800,0,64,43.52,"<div_class=""heroes-sprite-centaur_heroes-sprite-32x18""></div>"
17,Chaos Knight,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/chaos_knight.png,STR,14,2.1,18,1.2,22,3.2,640,1.74,291,1.22,3.33,14.29,320,0.5,66,51,81,0,0,66,51,81,3.3,25,1.7,14,MELEE,1.49,0.67,0.5,900,0,746.67,853.33,0,0,0,150,1800,800,0,66,44.22,"<div_class=""heroes-sprite-chaos_knight_heroes-sprite-32x18""></div>"
18,Chen,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/chen.png,INT,15,2.1,19,2.8,25,1.8,700,1.77,303,1.24,1.5,6.98,310,0.6,53,48,58,0,0,53,48,58,0,22.86,1.7,15,RANGED,1.48,0.68,0.5,1100,0,752.5,907.47,0,0,0,650,1800,800,0,53,36.04,"<div_class=""heroes-sprite-chen_heroes-sprite-32x18""></div>"
19,Clinkz,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/clinkz.png,AGI,22,2.6,18,1.7,14,1.9,480,1.93,291,1.22,3.67,15.49,298.89,0.5,40,37,43,0,0,40,37,43,0,25,1.7,22,RANGED,1.39,0.72,0.7,900,0,568,640,0,0,0,640,1800,800,0,40,28.8,"<div_class=""heroes-sprite-clinkz_heroes-sprite-32x18""></div>"
20,Crystal Maiden,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/crystal_maiden.png,INT,16,1.6,14,2.9,18,2,560,1.69,243,1.15,2.67,11.76,275,0.5,43,40,46,0,0,43,40,46,0,23.43,1.7,16,RANGED,1.47,0.68,0.55,900,0,634.67,731.31,0,0,0,600,1800,800,0,43,29.24,"<div_class=""heroes-sprite-crystal_maiden_heroes-sprite-32x18""></div>"
21,Dark Seer,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/dark_seer.png,INT,12,1.2,21,2.7,24,2.9,680,1.76,327,1.28,7,25.93,295,0.6,57,54,60,0,0,57,54,60,0,22.64,1.7,12,MELEE,1.52,0.66,0.59,900,0,918,878.98,0,0,0,150,1800,800,0,57,37.62,"<div_class=""heroes-sprite-dark_seer_heroes-sprite-32x18""></div>"
22,Dark Willow,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/dark_willow.png,INT,18,1.6,18,3,20,1.8,600,1.71,291,1.22,2,9.09,295,0.7,49,45,53,0,0,49,45,53,0,22.98,1.3,18,RANGED,1.1,0.91,0.3,1200,0,660,778.97,0,0,0,475,1800,800,0,49,44.59,"<div_class=""heroes-sprite-dark_willow_heroes-sprite-32x18""></div>"
23,Dazzle,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/dazzle.png,INT,21,1.7,25,3.4,18,2.3,560,1.69,375,1.35,2.5,11.11,310,0.6,50,47,53,0,0,50,47,53,0,22.19,1.7,21,RANGED,1.4,0.71,0.3,1200,0,630,719.68,0,0,0,550,1800,800,0,50,35.5,"<div_class=""heroes-sprite-dazzle_heroes-sprite-32x18""></div>"
24,Death Prophet,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/death_prophet.png,INT,14,1.4,21,3,19,2.9,580,1.7,327,1.28,2.33,10.45,305,0.5,53,47,59,0,0,53,47,59,0,22.64,1.7,14,RANGED,1.49,0.67,0.56,1000,0,647.67,749.72,0,0,0,600,1800,800,0,53,35.51,"<div_class=""heroes-sprite-death_prophet_heroes-sprite-32x18""></div>"
25,Disruptor,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/disruptor.png,INT,15,1.4,20,2.5,21,2.2,620,1.72,315,1.26,1.5,6.98,300,0.5,51,49,53,0,0,51,49,53,0,22.75,1.7,15,RANGED,1.48,0.68,0.4,1200,0,666.5,802.59,0,0,0,600,1800,800,0,51,34.68,"<div_class=""heroes-sprite-disruptor_heroes-sprite-32x18""></div>"
26,Doom,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/doom.png,STR,11,0.9,15,2.1,26,3.5,720,1.78,255,1.17,0.83,4,280,0.5,61,53,69,0,0,61,53,69,3.9,25,2,11,MELEE,1.8,0.56,0.5,900,0,750,960,0,0,0,150,1800,800,0,61,34.16,"<div_class=""heroes-sprite-doom_bringer_heroes-sprite-32x18""></div>"
27,Dragon Knight,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/dragon_knight.png,STR,19,2,15,1.7,19,3.1,580,1.7,255,1.17,3.17,13.67,280,0.6,53,50,56,0,0,53,50,56,2.85,25,1.7,19,MELEE,1.43,0.7,0.5,900,0,671.83,773.33,0,0,0,150,1800,800,0,53,37.1,"<div_class=""heroes-sprite-dragon_knight_heroes-sprite-32x18""></div>"
28,Drow Ranger,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/drow_ranger.png,AGI,19,2.2,15,1.4,17,1.9,540,1.96,255,1.17,0.17,0.83,288.25,0.7,49.5,44,55,0,0,49.5,44,55,0,25,1.7,19,RANGED,1.43,0.7,0.65,1250,0,544.5,720,0,0,0,625,1800,800,0,49.5,34.65,"<div_class=""heroes-sprite-drow_ranger_heroes-sprite-32x18""></div>"
29,Earth Spirit,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/earth_spirit.png,STR,17,1.5,18,2.1,21,3.5,620,1.72,291,1.22,2.83,12.41,285,0.6,51,46,56,0,0,51,46,56,3.15,25,1.7,17,MELEE,1.45,0.69,0.35,900,0,707.83,826.67,0,0,0,150,1800,800,0,51,35.19,"<div_class=""heroes-sprite-earth_spirit_heroes-sprite-32x18""></div>"
30,Earthshaker,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/earthshaker.png,STR,12,1.4,16,1.8,22,3.2,640,2.89,267,1.19,3,13.04,310,0.9,54,49,59,0,0,54,49,59,3.3,25,1.7,12,MELEE,1.52,0.66,0.467,0,0,736,853.33,0,0,0,150,1800,800,0,54,35.64,"<div_class=""heroes-sprite-earthshaker_heroes-sprite-32x18""></div>"
31,Elder Titan,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/elder_titan.png,STR,14,1.8,23,1.6,24,2.6,680,1.76,351,1.31,2.33,10.45,310,0.5,52,47,57,0,0,52,47,57,3.6,25,1.7,14,MELEE,1.49,0.67,0.35,900,0,759.33,906.67,0,0,0,150,1800,800,0,52,34.84,"<div_class=""heroes-sprite-elder_titan_heroes-sprite-32x18""></div>"
32,Ember Spirit,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/ember_spirit.png,AGI,22,1.8,20,1.8,20,2.4,600,2.29,315,1.26,2.67,11.76,309.03,0.5,54,52,56,0,0,54,52,56,0,25,1.7,22,MELEE,1.39,0.72,0.4,900,0,680,800,0,0,0,150,1800,800,0,54,38.88,"<div_class=""heroes-sprite-ember_spirit_heroes-sprite-32x18""></div>"
33,Enchantress,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/enchantress.png,INT,19,1.8,19,3.1,19,1.3,580,1.7,303,1.24,1.17,5.51,325,0.5,54,49,59,0,0,54,49,59,0,22.86,1.7,19,RANGED,1.43,0.7,0.3,900,0,613.83,751.9,0,0,0,575,1800,800,0,54,37.8,"<div_class=""heroes-sprite-enchantress_heroes-sprite-32x18""></div>"
34,Enigma,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/enigma.png,INT,14,1,18,3.4,21,2.3,620,1.72,291,1.22,4.33,17.81,300,0.5,45,42,48,0,0,45,42,48,0,22.98,1.7,14,RANGED,1.49,0.67,0.4,900,0,754.33,804.93,0,0,0,500,1800,800,0,45,30.15,"<div_class=""heroes-sprite-enigma_heroes-sprite-32x18""></div>"
35,Faceless Void,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/faceless_void.png,AGI,23,2.8,15,1.5,24,2.1,680,2.34,255,1.17,3.83,16.08,299.07,1,59,56,62,0,0,59,56,62,0,25,1.7,23,MELEE,1.38,0.72,0.5,900,0,810.33,906.67,0,0,0,150,1800,800,0,59,42.48,"<div_class=""heroes-sprite-faceless_void_heroes-sprite-32x18""></div>"
36,Nature's Prophet,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/nature's_prophet.png,INT,18,2.4,23,2.9,21,2.4,620,1.72,351,1.31,4,16.67,290,0.6,59,52,66,0,0,59,52,66,0,22.41,1.7,18,RANGED,1.44,0.69,0.4,1125,0,744,799.1,0,0,0,600,1800,800,0,59,40.71,"<div_class=""heroes-sprite-furion_heroes-sprite-32x18""></div>"
37,Grimstroke,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/grimstroke.png,INT,18,1.9,23,3.3,21,2.2,620,1.72,351,1.31,3,13.04,295,0.6,52,50,54,0,0,52,50,54,0,22.41,1.7,18,RANGED,1.44,0.69,0.35,900,0,713,799.1,0,0,0,550,1800,800,0,52,35.88,"<div_class=""heroes-sprite-grimstroke_heroes-sprite-32x18""></div>"
38,Gyrocopter,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/gyrocopter.png,AGI,19,2.8,19,2.1,19,2.1,580,1.7,303,1.24,5.17,20.53,323.65,0.6,42,37,47,0,0,42,37,47,0,25,1.7,19,RANGED,1.43,0.7,0.2,3000,0,729.83,773.33,0,0,0,365,1800,800,0,42,29.4,"<div_class=""heroes-sprite-gyrocopter_heroes-sprite-32x18""></div>"
39,Huskar,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/huskar.png,STR,15,1.4,18,1.5,21,2.7,620,1.72,291,1.22,0.5,2.44,290,0.5,42.5,40,45,0,0,42.5,40,45,3.15,25,1.6,15,RANGED,1.39,0.72,0.4,1400,0,635.5,826.67,0,0,0,400,1800,800,0,42.5,30.6,"<div_class=""heroes-sprite-huskar_heroes-sprite-32x18""></div>"
40,Invoker,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/invoker.png,INT,14,1.9,14,4,18,2.2,560,1.69,243,1.15,1.33,6.25,280,0.5,38,35,41,0,0,38,35,41,0,23.43,1.7,14,RANGED,1.49,0.67,0.4,900,0,597.33,731.31,0,0,0,600,1800,800,0,38,25.46,"<div_class=""heroes-sprite-invoker_heroes-sprite-32x18""></div>"
41,Jakiro,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/jakiro.png,INT,10,1.2,26,2.8,27,2.6,740,1.79,387,1.37,2.67,11.76,290,0.5,57,53,61,0,0,57,53,61,0,22.07,1.7,10,RANGED,1.55,0.65,0.4,1100,0,838.67,949.63,0,0,0,400,1800,800,0,57,37.05,"<div_class=""heroes-sprite-jakiro_heroes-sprite-32x18""></div>"
42,Juggernaut,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/juggernaut.png,AGI,26,2.4,14,1.4,21,2.2,620,2.3,243,1.15,5.33,21.05,299.6,0.6,50,48,52,0,0,50,48,52,0,25,1.4,26,MELEE,1.11,0.9,0.33,0,0,785.33,826.67,0,0,0,150,1800,800,0,50,45,"<div_class=""heroes-sprite-juggernaut_heroes-sprite-32x18""></div>"
43,Keeper of the Light,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/keeper_of_the_light.png,INT,15,1.6,23,2.8,16,2.1,520,1.67,351,1.31,1.5,6.98,335,0.5,46.5,43,50,0,0,46.5,43,50,0,22.41,1.7,15,RANGED,1.48,0.68,0.3,900,0,559,670.21,0,0,0,600,1800,800,0,46.5,31.62,"<div_class=""heroes-sprite-keeper_of_the_light_heroes-sprite-32x18""></div>"
44,Kunkka,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/kunkka.png,STR,14,1.3,18,1.5,24,3.3,680,1.76,291,1.22,3.33,14.29,295,0.6,55,50,60,0,0,55,50,60,3.6,25,1.7,14,MELEE,1.49,0.67,0.4,900,0,793.33,906.67,0,0,0,150,1800,800,0,55,36.85,"<div_class=""heroes-sprite-kunkka_heroes-sprite-32x18""></div>"
45,Legion Commander,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/legion_commander.png,STR,18,1.7,20,2.2,26,2.9,720,1.78,315,1.26,2,9.09,315,0.5,63,61,65,0,0,63,61,65,3.9,25,1.7,18,MELEE,1.44,0.69,0.46,900,0,792,960,0,0,0,150,1800,800,0,63,43.47,"<div_class=""heroes-sprite-legion_commander_heroes-sprite-32x18""></div>"
46,Leshrac,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/leshrac.png,INT,23,1.7,22,3,18,2.1,560,1.69,339,1.3,3.83,16.08,330,0.5,43,41,45,0,0,43,41,45,0,22.53,1.7,23,RANGED,1.38,0.72,0.4,900,0,667.33,722.81,0,0,0,600,1800,800,0,43,30.96,"<div_class=""heroes-sprite-leshrac_heroes-sprite-32x18""></div>"
47,Lich,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/lich.png,INT,15,2,16,3.25,20,1.85,600,1.71,267,1.19,1.5,6.98,315,0.5,46.5,42,51,0,0,46.5,42,51,0,23.2,1.7,15,RANGED,1.48,0.68,0.46,900,0,645,781.25,0,0,0,550,1800,800,0,46.5,31.62,"<div_class=""heroes-sprite-lich_heroes-sprite-32x18""></div>"
48,Lifestealer,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/lifestealer.png,STR,18,1.9,15,1.75,25,3.1,700,1.77,255,1.17,1,4.76,310,1,57,52,62,0,0,57,52,62,3.75,25,1.85,18,MELEE,1.57,0.64,0.39,900,0,735,933.33,0,0,0,150,1800,800,0,57,36.48,"<div_class=""heroes-sprite-life_stealer_heroes-sprite-32x18""></div>"
49,Lina,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/lina.png,INT,16,1.5,28,3.2,20,1.8,600,1.71,411,1.4,1.67,7.69,295,0.5,52,46,58,0,0,52,46,58,0,21.85,1.6,16,RANGED,1.38,0.72,0.75,1000,0,650,767.75,0,0,0,670,1800,800,0,52,37.44,"<div_class=""heroes-sprite-lina_heroes-sprite-32x18""></div>"
50,Lion,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/lion.png,INT,15,1.5,18,3,18,2,560,1.69,291,1.22,1.5,6.98,290,0.5,50,47,53,0,0,50,47,53,0,22.98,1.7,15,RANGED,1.48,0.68,0.43,900,0,602,727.04,0,0,0,600,1800,800,0,50,34,"<div_class=""heroes-sprite-lion_heroes-sprite-32x18""></div>"
51,Lone Druid,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/lone_druid.png,AGI,24,2.7,13,1.4,18,2.4,560,1.98,231,1.13,4,16.67,324.61,0.5,44,42,46,0,0,44,42,46,0,25,1.7,24,RANGED,1.37,0.73,0.33,900,0,672,746.67,0,0,0,550,1800,800,0,44,32.12,"<div_class=""heroes-sprite-lone_druid_heroes-sprite-32x18""></div>"
52,Luna,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/luna.png,AGI,18,3.3,16,1.85,16,2.2,520,1.67,267,1.19,3,13.04,333.56,0.6,41,38,44,0,0,41,38,44,0,25,1.7,18,RANGED,1.44,0.69,0.46,900,0,598,693.33,0,0,0,330,1800,800,0,41,28.29,"<div_class=""heroes-sprite-luna_heroes-sprite-32x18""></div>"
53,Lycan,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/lycan.png,STR,16,1,17,1.4,25,3.3,700,1.77,279,1.21,0.67,3.23,300,0.5,57.5,55,60,0,0,57.5,55,60,3.75,25,1.7,16,MELEE,1.47,0.68,0.55,900,0,723.33,933.33,0,0,0,150,1800,800,0,57.5,39.1,"<div_class=""heroes-sprite-lycan_heroes-sprite-32x18""></div>"
54,Magnus,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/magnus.png,STR,15,2.5,19,1.65,23,3.2,660,2.33,303,1.24,3.5,14.89,305,0.8,61,55,67,0,0,61,55,67,3.45,25,1.8,15,MELEE,1.57,0.64,0.5,900,0,775.5,880,0,0,0,150,1800,800,0,61,39.04,"<div_class=""heroes-sprite-magnataur_heroes-sprite-32x18""></div>"
55,Medusa,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/medusa.png,AGI,20,2.5,19,2.1,15,1.3,500,1.66,303,1.24,2.33,10.45,278.3,0.5,47,44,50,0,0,47,44,50,0,25,1.7,20,RANGED,1.42,0.71,0.5,1200,0,558.33,666.67,0,0,0,600,1800,800,0,47,33.37,"<div_class=""heroes-sprite-medusa_heroes-sprite-32x18""></div>"
56,Meepo,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/meepo.png,AGI,23,2.2,20,1.6,24,1.6,680,2.05,315,1.26,6.83,25.47,314.28,0.65,46,43,49,0,0,46,43,49,0,25,1.7,23,MELEE,1.38,0.72,0.38,900,0,912.33,906.67,0,0,0,150,1800,800,0,46,33.12,"<div_class=""heroes-sprite-meepo_heroes-sprite-32x18""></div>"
