id,Hero_Name_(multiple_search_terms_allowed,image,Primary_Stat,Agility,Agility_Gain,Intelligence,Intelligence_Gain,Strength,Strength_Gain,Health,Health_Regen,Mana,Mana_Regen,Armor,%Physical_Damage_Reduction,Movement_Speed,Turn_Rate,Base_Damage_Average,Base_Damage_Min,Base_Damage_Max,Bonus_Damage,Bonus_Damage_Reduction,Damage_Average,Damage_Min,Damage_Max,Status_Resistance,Magic_Resistance,Base_Attack_Time,Increased_Attack_Speed,Attack_Type,Attack_Time,Attacks_Per_Second,Attack_Point,Projectile_Speed,Evasion,Physical_Effective_Health,Magical_Effective_Health,Bash_Chance,Crit_Chance,Miss_Chance,Attack_Range,Vision_Range_Day,Vision_Range_Night,Lifesteal,Attack_Damage,Damage_Per_Second,Hero_Icon
57,Mirana,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/mirana.png,AGI,18,3.2,17,1.65,18,2.15,560,1.69,279,1.21,2,9.09,298.19,0.5,45.5,43,48,0,0,45.5,43,48,0,25,1.7,18,RANGED,1.44,0.69,0.3,900,0,616,746.67,0,0,0,630,1800,800,0,45.5,31.39,"<div_class=""heroes-sprite-mirana_heroes-sprite-32x18""></div>"
58,Monkey King,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/monkey_king.png,AGI,22,3.2,20,1.8,19,2.8,580,3.41,315,1.26,0.67,3.23,303.96,0.6,54,51,57,0,0,54,51,57,0,25,1.7,22,MELEE,1.39,0.72,0.45,900,0,599.33,773.33,0,0,0,300,1800,800,0,54,38.88,"<div_class=""heroes-sprite-monkey_king_heroes-sprite-32x18""></div>"
59,Morphling,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/morphling.png,AGI,24,3.7,13,1.1,20,2.3,600,1.71,231,1.13,2,9.09,284.03,0.6,37.5,33,42,0,0,37.5,33,42,0,25,1.5,24,RANGED,1.21,0.83,0.5,1300,0,660,800,0,0,0,350,1800,800,0,37.5,31.13,"<div_class=""heroes-sprite-morphling_heroes-sprite-32x18""></div>"
60,Naga Siren,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/naga_siren.png,AGI,21,3.2,21,2,22,2.8,640,3.47,327,1.28,6.5,24.53,318.97,0.5,45,44,46,0,0,45,44,46,0,25,1.7,21,MELEE,1.4,0.71,0.5,900,0,848,853.33,0,0,0,150,1800,800,0,45,31.95,"<div_class=""heroes-sprite-naga_siren_heroes-sprite-32x18""></div>"
61,Necrophos,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/necrophos.png,INT,12,1.3,20,2.5,18,2.6,560,1.69,315,1.26,3,13.04,280,0.5,48,46,50,0,0,48,46,50,0,22.75,1.7,12,RANGED,1.52,0.66,0.4,900,0,644,724.92,0,0,0,550,1800,800,0,48,31.68,"<div_class=""heroes-sprite-necrolyte_heroes-sprite-32x18""></div>"
62,Shadow Fiend,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/shadow_fiend.png,AGI,20,2.9,18,2,16,2.3,520,1.95,291,1.22,1.33,6.25,313.72,1,38,35,41,0,0,38,35,41,0,25,1.7,20,RANGED,1.42,0.71,0.5,1200,0,554.67,693.33,0,0,0,500,1800,800,0,38,26.98,"<div_class=""heroes-sprite-nevermore_heroes-sprite-32x18""></div>"
63,Night Stalker,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/night_stalker.png,STR,18,2.25,13,1.6,23,3.1,660,3.78,231,1.13,5,20,285,0.5,63,61,65,0,0,63,61,65,3.45,25,1.7,18,MELEE,1.44,0.69,0.55,900,0,825,880,0,0,0,150,800,1800,0,63,43.47,"<div_class=""heroes-sprite-night_stalker_heroes-sprite-32x18""></div>"
64,Nyx Assassin,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/nyx_assassin.png,AGI,19,2.2,18,2.1,19,2.3,580,5.39,291,1.22,4.17,17.24,298.36,0.5,48,46,50,0,0,48,46,50,0,25,1.7,19,MELEE,1.43,0.7,0.46,900,0,700.83,773.33,0,0,0,150,1800,800,0,48,33.6,"<div_class=""heroes-sprite-nyx_assassin_heroes-sprite-32x18""></div>"
65,Outworld Devourer,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/outworld_devourer.png,INT,24,2,24,2.7,19,2.6,580,1.7,363,1.33,4.5,18.37,315,0.5,47.5,40,55,0,0,47.5,40,55,0,22.3,1.7,24,RANGED,1.37,0.73,0.46,900,0,710.5,746.46,0,0,0,450,1800,800,0,47.5,34.67,"<div_class=""heroes-sprite-obsidian_destroyer_heroes-sprite-32x18""></div>"
66,Ogre Magi,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/ogre_magi.png,INT,14,1.55,15,2,25,3.5,700,5.6,255,1.17,8.33,29.41,285,0.6,61,58,64,0,0,61,58,64,0,23.31,1.7,14,MELEE,1.49,0.67,0.3,900,0,991.67,912.8,0,0,0,150,1800,800,0,61,40.87,"<div_class=""heroes-sprite-ogre_magi_heroes-sprite-32x18""></div>"
67,Omniknight,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/omniknight.png,STR,15,1.75,15,1.8,22,3.1,640,1.74,255,1.17,3.5,14.89,300,0.6,58,53,63,0,0,58,53,63,3.3,25,1.7,15,MELEE,1.48,0.68,0.433,900,0,752,853.33,0,0,0,150,1800,800,0,58,39.44,"<div_class=""heroes-sprite-omniknight_heroes-sprite-32x18""></div>"
68,Oracle,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/oracle.png,INT,15,1.7,21,3.5,20,2.2,600,1.71,327,1.28,2.5,11.11,305,0.7,42,39,45,0,0,42,39,45,0,22.64,1.4,15,RANGED,1.22,0.82,0.3,900,0,675,775.57,0,0,0,620,1800,800,0,42,34.44,"<div_class=""heroes-sprite-oracle_heroes-sprite-32x18""></div>"
69,Pangolier,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/pangolier.png,AGI,18,2.8,16,1.9,17,2.5,540,1.96,267,1.19,4,16.67,308.29,1,50,47,53,0,0,50,47,53,0,25,1.7,18,MELEE,1.44,0.69,0.33,900,0,648,720,0,0,0,150,1800,800,0,50,34.5,"<div_class=""heroes-sprite-pangolier_heroes-sprite-32x18""></div>"
70,Phantom Assassin,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/phantom_assassin.png,AGI,23,3.15,15,1.4,21,2.15,620,2.01,255,1.17,4.83,19.46,309.21,0.6,47,46,48,0,0,47,46,48,0,25,1.7,23,MELEE,1.38,0.72,0.3,900,0,769.83,826.67,0,0,0,150,1800,800,0,47,33.84,"<div_class=""heroes-sprite-phantom_assassin_heroes-sprite-32x18""></div>"
71,Phantom Lancer,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/phantom_lancer.png,AGI,29,2.8,19,2,19,2,580,3.41,303,1.24,4.83,19.46,289.96,0.6,62,51,73,0,0,62,51,73,0,25,1.7,29,MELEE,1.32,0.76,0.5,900,0,720.17,773.33,0,0,0,150,1800,800,0,62,47.12,"<div_class=""heroes-sprite-phantom_lancer_heroes-sprite-32x18""></div>"
72,Phoenix,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/phoenix.png,STR,12,1.3,18,1.8,19,3.2,580,1.7,291,1.22,0,0,280,1,50,45,55,0,0,50,45,55,2.85,25,1.7,12,RANGED,1.52,0.66,0.35,1100,0,580,773.33,0,0,0,500,1800,800,0,50,33,"<div_class=""heroes-sprite-phoenix_heroes-sprite-32x18""></div>"
73,Puck,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/puck.png,INT,22,1.7,23,2.4,17,2,540,1.68,351,1.31,1.67,7.69,295,0.5,58.5,53,64,0,0,58.5,53,64,0,22.41,1.7,22,RANGED,1.39,0.72,0.5,900,0,585,695.99,0,0,0,550,1800,800,0,58.5,42.12,"<div_class=""heroes-sprite-puck_heroes-sprite-32x18""></div>"
74,Pudge,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/pudge.png,STR,14,1.5,14,1.5,25,3.5,700,1.77,243,1.15,0.33,1.64,275,0.7,62,59,65,0,0,62,59,65,3.75,25,1.7,14,MELEE,1.49,0.67,0.5,0,0,711.67,933.33,0,0,0,150,1800,800,0,62,41.54,"<div_class=""heroes-sprite-pudge_heroes-sprite-32x18""></div>"
75,Pugna,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/pugna.png,INT,16,1,24,4.5,19,1.8,580,1.7,363,1.33,2.67,11.76,335,0.5,47,43,51,0,0,47,43,51,0,22.3,1.7,16,RANGED,1.47,0.68,0.5,900,0,657.33,746.46,0,0,0,630,1800,800,0,47,31.96,"<div_class=""heroes-sprite-pugna_heroes-sprite-32x18""></div>"
76,Queen of Pain,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/queen_of_pain.png,INT,18,2,22,2.5,18,2.3,560,1.69,339,1.3,2,9.09,295,0.5,49,45,53,0,0,49,45,53,0,22.53,1.5,18,RANGED,1.27,0.79,0.56,1500,0,616,722.81,0,0,0,550,1800,800,0,49,38.71,"<div_class=""heroes-sprite-queenofpain_heroes-sprite-32x18""></div>"
77,Clockwerk,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/clockwerk.png,STR,13,2.3,17,1.3,26,3.2,720,1.78,279,1.21,1.17,5.51,310,0.6,51,50,52,0,0,51,50,52,3.9,25,1.7,13,MELEE,1.5,0.66,0.33,900,0,762,960,0,0,0,150,1800,800,0,51,33.66,"<div_class=""heroes-sprite-rattletrap_heroes-sprite-32x18""></div>"
78,Razor,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/razor.png,AGI,22,1.8,21,1.8,22,2.6,640,1.74,327,1.28,2.67,11.76,288.76,0.5,46,45,47,0,0,46,45,47,0,25,1.7,22,RANGED,1.39,0.72,0.3,2000,0,725.33,853.33,0,0,0,475,1800,800,0,46,33.12,"<div_class=""heroes-sprite-razor_heroes-sprite-32x18""></div>"
79,Riki,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/riki.png,AGI,30,2.2,14,1.3,18,1.9,560,3.39,243,1.15,6,23.08,279.95,0.6,43,41,45,0,0,43,41,45,0,25,1.7,30,MELEE,1.31,0.76,0.3,900,0,728,746.67,0,0,0,150,1800,800,0,43,32.68,"<div_class=""heroes-sprite-riki_heroes-sprite-32x18""></div>"
80,Rubick,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/rubick.png,INT,14,1.6,25,2.4,21,1.8,620,1.72,375,1.35,1.33,6.25,290,0.7,49,44,54,0,0,49,44,54,0,22.19,1.7,14,RANGED,1.49,0.67,0.4,1125,0,661.33,796.79,0,0,0,550,1800,800,0,49,32.83,"<div_class=""heroes-sprite-rubick_heroes-sprite-32x18""></div>"
81,Sand King,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/sand_king.png,STR,19,2.1,16,1.8,22,2.9,640,1.74,267,1.19,2.17,9.77,285,0.5,52,47,57,0,0,52,47,57,3.3,25,1.7,19,MELEE,1.43,0.7,0.53,900,0,709.33,853.33,0,0,0,150,1800,800,0,52,36.4,"<div_class=""heroes-sprite-sand_king_heroes-sprite-32x18""></div>"
82,Shadow Demon,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/shadow_demon.png,INT,18,2.2,21,2.7,23,2.4,660,1.75,327,1.28,3,13.04,295,0.6,52,50,54,0,0,52,50,54,0,22.64,1.7,18,RANGED,1.44,0.69,0.35,900,0,759,853.13,0,0,0,500,1800,800,0,52,35.88,"<div_class=""heroes-sprite-shadow_demon_heroes-sprite-32x18""></div>"
83,Shadow Shaman,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/shadow_shaman.png,INT,16,1.6,21,3,23,2.1,660,1.75,327,1.28,3.67,15.49,285,0.5,76.5,73,80,0,0,76.5,73,80,0,22.64,1.7,16,RANGED,1.47,0.68,0.3,900,0,781,853.13,0,0,0,400,1800,800,0,76.5,52.02,"<div_class=""heroes-sprite-shadow_shaman_heroes-sprite-32x18""></div>"
84,Timbersaw,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/timbersaw.png,STR,16,1.3,21,2.4,21,2.1,620,1.72,327,1.28,0.67,3.23,285,0.6,49,47,51,0,0,49,47,51,3.15,25,1.7,16,MELEE,1.47,0.68,0.36,900,0,640.67,826.67,0,0,0,150,1800,800,0,49,33.32,"<div_class=""heroes-sprite-shredder_heroes-sprite-32x18""></div>"
85,Silencer,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/silencer.png,INT,22,3,25,2.5,19,2.5,580,1.7,375,1.35,2.67,11.76,295,0.6,50,43,57,0,0,50,43,57,0,22.19,1.7,22,RANGED,1.39,0.72,0.5,1000,0,657.33,745.38,0,0,0,600,1800,800,0,50,36,"<div_class=""heroes-sprite-silencer_heroes-sprite-32x18""></div>"
86,Wraith King,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/wraith_king.png,STR,18,1.7,18,1.6,22,2.8,640,1.74,291,1.22,2,9.09,295,0.5,62,61,63,0,0,62,61,63,3.3,25,1.7,18,MELEE,1.44,0.69,0.56,0,0,704,853.33,0,0,0,150,1800,800,0,62,42.78,"<div_class=""heroes-sprite-skeleton_king_heroes-sprite-32x18""></div>"
87,Skywrath Mage,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/skywrath_mage.png,INT,13,0.8,25,3.6,21,1.8,620,1.72,375,1.35,0.17,0.83,330,0.5,44,39,49,0,0,44,39,49,0,22.19,1.7,13,RANGED,1.5,0.66,0.4,1000,0,625.17,796.79,0,0,0,600,1800,800,0,44,29.04,"<div_class=""heroes-sprite-skywrath_mage_heroes-sprite-32x18""></div>"
88,Slardar,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/slardar.png,STR,17,2.4,15,1.5,21,3.1,620,1.72,255,1.17,4.83,19.46,285,0.5,55,51,59,0,0,55,51,59,3.15,25,1.7,17,MELEE,1.45,0.69,0.36,0,0,769.83,826.67,0,0,0,150,1800,800,0,55,37.95,"<div_class=""heroes-sprite-slardar_heroes-sprite-32x18""></div>"
89,Slark,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/slark.png,AGI,21,1.5,16,1.7,21,1.9,620,3.74,267,1.19,2.5,11.11,298.72,0.6,58,54,62,0,0,58,54,62,0,25,1.7,21,MELEE,1.4,0.71,0.5,0,0,697.5,826.67,0,0,0,150,1800,1800,0,58,41.18,"<div_class=""heroes-sprite-slark_heroes-sprite-32x18""></div>"
90,Sniper,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/sniper.png,AGI,21,2.7,15,2.6,17,1.7,540,1.68,255,1.17,2.5,11.11,288.59,0.7,39,36,42,0,0,39,36,42,0,25,1.7,21,RANGED,1.4,0.71,0.17,3000,0,607.5,720,0,0,0,550,1800,1400,0,39,27.69,"<div_class=""heroes-sprite-sniper_heroes-sprite-32x18""></div>"
91,Spectre,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/spectre.png,AGI,23,1.8,16,1.9,21,2.3,620,1.72,267,1.19,3.83,16.08,288.93,0.5,48,46,50,0,0,48,46,50,0,25,1.7,23,MELEE,1.38,0.72,0.3,900,0,738.83,826.67,0,0,0,150,1800,800,0,48,34.56,"<div_class=""heroes-sprite-spectre_heroes-sprite-32x18""></div>"
92,Spirit Breaker,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/spirit_breaker.png,STR,17,1.7,14,1.8,29,2.7,780,1.81,243,1.15,4.83,19.46,280,0.5,65,60,70,0,0,65,60,70,4.35,25,1.9,17,MELEE,1.62,0.62,0.6,900,0,968.5,1040,0,0,0,150,1800,800,0,65,40.3,"<div_class=""heroes-sprite-spirit_breaker_heroes-sprite-32x18""></div>"
93,Storm Spirit,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/storm_spirit.png,INT,22,1.5,22,3,21,1.8,620,1.72,339,1.3,5.67,22.08,285,0.8,51,46,56,0,0,51,46,56,0,22.53,1.7,22,RANGED,1.39,0.72,0.5,1100,0,795.67,800.26,0,0,0,480,1800,800,0,51,36.72,"<div_class=""heroes-sprite-storm_spirit_heroes-sprite-32x18""></div>"
94,Sven,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/sven.png,STR,21,2,16,1.3,23,3,660,1.75,267,1.19,4.5,18.37,285,0.6,67,66,68,0,0,67,66,68,3.45,25,1.8,21,MELEE,1.49,0.67,0.4,0,0,808.5,880,0,0,0,150,1800,800,0,67,44.89,"<div_class=""heroes-sprite-sven_heroes-sprite-32x18""></div>"
95,Techies,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/techies.png,INT,14,1.3,20,2.9,19,2.3,580,1.7,315,1.26,7.33,26.83,270,0.5,30,29,31,0,0,30,29,31,0,22.75,1.7,14,RANGED,1.49,0.67,0.5,900,0,792.67,750.81,0,0,0,700,1800,800,0,30,20.1,"<div_class=""heroes-sprite-techies_heroes-sprite-32x18""></div>"
96,Templar Assassin,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/templar_assassin.png,AGI,23,2.3,20,2,19,2.4,580,1.99,315,1.26,4.83,19.46,314.28,0.7,56,53,59,0,0,56,53,59,0,25,1.7,23,RANGED,1.38,0.72,0.3,900,0,720.17,773.33,0,0,0,140,1800,800,0,56,40.32,"<div_class=""heroes-sprite-templar_assassin_heroes-sprite-32x18""></div>"
97,Terrorblade,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/terrorblade.png,AGI,22,4.2,19,1.6,16,1.7,520,1.67,303,1.24,10.67,34.78,314.09,0.5,51,48,54,0,0,51,48,54,0,25,1.5,22,MELEE,1.23,0.81,0.3,900,0,797.33,693.33,0,0,0,150,1800,800,0,51,41.31,"<div_class=""heroes-sprite-terrorblade_heroes-sprite-32x18""></div>"
98,Tidehunter,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/tidehunter.png,STR,15,1.5,16,1.7,22,3.3,640,1.74,267,1.19,2.5,11.11,300,0.5,50,47,53,0,0,50,47,53,3.3,25,1.7,15,MELEE,1.48,0.68,0.6,900,0,720,853.33,0,0,0,150,1800,800,0,50,34,"<div_class=""heroes-sprite-tidehunter_heroes-sprite-32x18""></div>"
99,Tinker,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/tinker.png,INT,13,1.2,28,2.2,17,2.3,540,1.68,411,1.4,4.17,17.24,290,0.6,55,52,58,0,0,55,52,58,0,21.85,1.7,13,RANGED,1.5,0.66,0.35,900,0,652.5,690.98,0,0,0,500,1800,800,0,55,36.3,"<div_class=""heroes-sprite-tinker_heroes-sprite-32x18""></div>"
100,Tiny,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/tiny.png,STR,0,0,17,1.6,30,3.6,800,1.82,279,1.21,0,0,285,0.5,77,74,80,0,0,77,74,80,4.5,25,1.7,0,MELEE,1.7,0.59,0.4,900,0,800,1066.67,0,0,0,150,1800,800,0,77,45.43,"<div_class=""heroes-sprite-tiny_heroes-sprite-32x18""></div>"
101,Treant Protector,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/treant_protector.png,STR,15,2,20,1.8,25,3.6,700,1.77,315,1.26,0.5,2.44,265,0.5,91,87,95,0,0,91,87,95,3.75,25,1.9,15,MELEE,1.65,0.61,0.6,900,0,717.5,933.33,0,0,0,150,1800,800,0,91,55.51,"<div_class=""heroes-sprite-treant_heroes-sprite-32x18""></div>"
102,Troll Warlord,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/troll_warlord.png,AGI,21,2.5,13,1,21,2.5,620,2.01,231,1.13,2.5,11.11,298.72,0.5,47,38,56,0,0,47,38,56,0,25,1.7,21,RANGED,1.4,0.71,0.3,1200,0,697.5,826.67,0,0,0,500,1800,800,0,47,33.37,"<div_class=""heroes-sprite-troll_warlord_heroes-sprite-32x18""></div>"
103,Tusk,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/tusk.png,STR,23,2.1,18,1.7,23,3,660,1.75,291,1.22,2.83,12.41,295,0.7,52,50,54,0,0,52,50,54,3.45,25,1.7,23,MELEE,1.38,0.72,0.36,900,0,753.5,880,0,0,0,150,1800,800,0,52,37.44,"<div_class=""heroes-sprite-tusk_heroes-sprite-32x18""></div>"
104,Undying,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/undying.png,STR,10,0.8,27,2.8,22,2.4,640,1.74,399,1.39,3.67,15.49,305,0.6,61,57,65,0,0,61,57,65,3.3,25,1.7,10,MELEE,1.55,0.65,0.3,900,0,757.33,853.33,0,0,0,150,1800,800,0,61,39.65,"<div_class=""heroes-sprite-undying_heroes-sprite-32x18""></div>"
105,Ursa,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/ursa.png,AGI,18,2.1,16,1.5,24,3.3,680,2.34,267,1.19,8,28.57,308.29,0.5,44,42,46,0,0,44,42,46,0,25,1.7,18,MELEE,1.44,0.69,0.3,900,0,952,906.67,0,0,0,150,1800,800,0,44,30.36,"<div_class=""heroes-sprite-ursa_heroes-sprite-32x18""></div>"
106,Vengeful Spirit,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/vengeful_spirit.png,AGI,27,3.3,13,1.5,19,2.9,580,1.99,231,1.13,4.5,18.37,299.78,0.6,43,39,47,0,0,43,39,47,0,25,1.7,27,RANGED,1.34,0.75,0.33,1500,0,710.5,773.33,0,0,0,400,1800,800,0,43,32.25,"<div_class=""heroes-sprite-vengefulspirit_heroes-sprite-32x18""></div>"
107,Venomancer,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/venomancer.png,AGI,22,2.8,17,1.8,19,1.9,580,1.7,279,1.21,3.67,15.49,278.63,0.5,39,38,40,0,0,39,38,40,0,25,1.7,22,RANGED,1.39,0.72,0.3,900,0,686.33,773.33,0,0,0,450,1800,800,0,39,28.08,"<div_class=""heroes-sprite-venomancer_heroes-sprite-32x18""></div>"
108,Viper,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/viper.png,AGI,21,2.9,15,1.8,21,2.4,620,1.72,255,1.17,1.5,6.98,278.46,0.5,45,44,46,0,0,45,44,46,0,25,1.7,21,RANGED,1.4,0.71,0.33,1200,0,666.5,826.67,0,0,0,575,1800,800,0,45,31.95,"<div_class=""heroes-sprite-viper_heroes-sprite-32x18""></div>"
109,Visage,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/visage.png,INT,11,1.3,22,2.5,24,3,680,1.76,339,1.3,-0.17,-0.83,285,0.5,50,45,55,0,0,50,45,55,0,7.03,1.7,11,RANGED,1.53,0.65,0.46,900,0,674.43,731.42,0,0,0,600,1800,800,0,50,32.5,"<div_class=""heroes-sprite-visage_heroes-sprite-32x18""></div>"
110,Warlock,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/warlock.png,INT,10,1,22,2.7,24,2.8,680,1.76,339,1.3,2.67,11.76,295,0.5,51,46,56,0,0,51,46,56,0,22.53,1.7,10,RANGED,1.55,0.65,0.3,1200,0,770.67,877.7,0,0,0,600,1800,800,0,51,33.15,"<div_class=""heroes-sprite-warlock_heroes-sprite-32x18""></div>"
111,Weaver,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/weaver.png,AGI,14,3.1,15,1.8,16,1.8,520,2.79,255,1.17,1.33,6.25,277.31,0.5,55,50,60,0,0,55,50,60,0,25,1.8,14,RANGED,1.58,0.63,0.64,900,0,554.67,693.33,0,0,0,425,1800,800,0,55,34.65,"<div_class=""heroes-sprite-weaver_heroes-sprite-32x18""></div>"
112,Windranger,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/windranger.png,INT,17,1.4,18,2.6,17,2.8,540,1.68,291,1.22,1.83,8.4,295,0.8,48,42,54,0,0,48,42,54,0,22.98,1.5,17,RANGED,1.28,0.78,0.4,1250,0,589.5,701.07,0,0,0,600,1800,800,0,48,37.44,"<div_class=""heroes-sprite-windrunner_heroes-sprite-32x18""></div>"
113,Winter Wyvern,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/winter_wyvern.png,INT,16,1.9,26,3.1,26,2.4,720,1.78,387,1.37,1.67,7.69,285,0.5,41.5,38,45,0,0,41.5,38,45,0,22.07,1.7,16,RANGED,1.47,0.68,0.25,700,0,780,923.97,0,0,0,425,1800,800,0,41.5,28.22,"<div_class=""heroes-sprite-winter_wyvern_heroes-sprite-32x18""></div>"
114,Io,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/io.png,STR,14,1.6,23,1.7,17,2.2,540,1.68,351,1.31,0.33,1.64,280,0.7,43.5,39,48,0,0,43.5,39,48,2.55,25,1.7,14,RANGED,1.49,0.67,0.15,1200,0,549,720,0,0,0,575,1800,800,0,43.5,29.15,"<div_class=""heroes-sprite-wisp_heroes-sprite-32x18""></div>"
115,Witch Doctor,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/witch_doctor.png,INT,13,1.4,22,2.9,18,2.1,560,1.69,339,1.3,1.17,5.51,305,0.5,56,51,61,0,0,56,51,61,0,22.53,1.7,13,RANGED,1.5,0.66,0.4,1200,0,592.67,722.81,0,0,0,600,1800,800,0,56,36.96,"<div_class=""heroes-sprite-witch_doctor_heroes-sprite-32x18""></div>"
116,Zeus,https://cdn.cloudflare.steamstatic.com/apps/dota2/images/dota_react/heroes/zeus.png,INT,11,1.2,20,2.7,21,2.3,620,1.72,315,1.26,1.83,8.4,300,0.6,57,53,61,0,0,57,53,61,0,22.75,1.7,11,RANGED,1.53,0.65,0.633,1100,0,676.83,802.59,0,0,0,380,1800,800,0,57,37.05,"<div_class=""heroes-sprite-zuus_heroes-sprite-32x18""></div>"